"product_id","product_name","gender","category","pattern","color","age_group","season","price","material","sales_count","reviews_count","average_rating","out_of_stock_times","brand","discount","last_stock_date","wish_list_count","month_of_sale","year_of_sale","product_url"
"9001","Spring To Summer Lace Trim Cami Top Pink Polka Dot","Female","Shirt","Polka Dots","Pink","18-35","Summer","45.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/spring-to-summer-lace-trim-cami-top-pink-polka-dot"
"9002","Where Lovers Meet Sequin Graphic Tank Top Blue","Female","Shirt","Solid","Blue","18-35","Summer","49.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/where-lovers-meet-sequin-graphic-tank-top-blue"
"9003","Baby Steps Spliced Bust Detail Cami Top Blue Gingham","Female","Shirt","Checked","Blue","18-35","Summer","55.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/baby-steps-spliced-bust-detail-cami-top-blue-gingham"
"9004","Speechless Lace Trim Strapless Top White","Female","Shirt","Solid","White","18-35","Summer","55.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/speechless-lace-trim-strapless-top-white"
"9005","Silver Springs Halter Ruched Mini Dress Jelly Mint","Female","Dress","Solid","Mint","18-35","Summer","69.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/silver-springs-halter-ruched-mini-dress-jelly-mint"
"9006","Danee Beaded Mesh Halter Top Brown","Female","Shirt","Solid","Brown","18-35","Summer","55.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/danee-beaded-mesh-halter-top-brown"
"9007","Idiana Halter Keyhole Top Blue Stripe","Female","Shirt","Striped","Blue","18-35","Summer","55.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/idiana-halter-keyhole-top-blue-stripe"
"9008","Quani Lace Top Black","Female","Shirt","Solid","Black","18-35","All","55.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/quani-lace-top-black"
"9009","Adolena Halter Ruched Maxi Dress Yellow Stripe","Female","Dress","Striped","Yellow","18-35","Summer","79.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/adolena-halter-ruched-maxi-dress-yellow-stripe"
"9010","Saving Up Mid Rise Straight Leg Studded Jeans White","Female","Jeans","Solid","White","18-35","All","88.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/saving-up-mid-rise-straight-leg-studded-jeans-white"
